id,title,author,pages_gt_200,pages_gt_300,pages_gt_400,pages_gt_500,pages_gt_600,year_pre1950,year_1950_1999,year_2000_2014,year_2015plus,genre_fiction,genre_nonfiction,genre_fantasy,genre_mystery,genre_children,author_russian,is_popular,part_of_series,is_bestseller
1,Лев Толстой и голод,graf Leo Tolstoy,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
2,"Лев Толстой, 1852-1869",Георгий Лесскис,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False
3,Лев Толстой,Максим Горький,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
4,Лев Николаевич Толстой,Pavel Biri︠u︡kov,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
5,Толстой 1850-1860,Борис Измаилович Срезневский,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
6,"Л.Н. Толстой, биография, характеристики, воспоминания (Жизнь, личность, творчество)",Pavel Biri︠u︡kov,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,Л.Н. Толстой в воспоминаниях современников,Nikolaĭ Leontʹevich Brodskiĭ,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8,Для детей,graf Leo Tolstoy,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
9,Лев Толстой и его жена,Тихон Иванович Полнер,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
10,"«Кто, что я?» Толстой в своих дневниках, письмах, воспоминаниях, трактатах",Ирина Паперно,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
11,Достоевский. Мысли на каждый день,Федор Достоевский,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
12,Достоевский. Его жизнь и литературная деятельность.,"Соловьёв, Евгений",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
13,Достоевский. Повести и рассказы. Том 2,Фёдор Достоевский,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
14,Толстой и Достоевский (сборник),Лев Толстой,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False
15,Достоевский Ф. Собрание сочинений в одной книге,Достоевский Ф. М.,True,True,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False
16,Suicide as a Cultural Institution in Dostoevsky's Russia,Irina Paperno,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
17,Честный вор - Ф.М. Достоевский,Фёдор Михайлович Достоевский,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
18,Достоевский. Энциклопедия,Николай Наседкин,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,True,False,False
19,Достоевский. Повести и рассказы. Том 12,Фёдор Достоевский,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
20,Достоевский,Б. Н Тихомиров,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,"Достоевский о науке, капитализме и последних временах",Валентин Катасонов,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
22,Достоевский. Повести и рассказы. Том 7,Фёдор Достоевский,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False
23,Достоевский,Инна Свеченовская,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
