id,title,author,year,pages,categories,description,rating,ratings_count
1,Лев Толстой и голод,graf Leo Tolstoy,1912,262,Famines,,0.0,0
2,"Лев Толстой, 1852-1869",Георгий Лесскис,2000,648,,,0.0,0
3,Лев Толстой,Максим Горький,2008,93,Biography & Autobiography,"«Мысль, которая, заметно, чаще других точит его сердце, – мысль о боге. Иногда кажется, что это и не мысль, а напряженное сопротивление чему-то, что он чувствует над собою. Он говорит об этом меньше, чем хотел бы, но думает – всегда. Едва ли это признак старости, предчувствие смерти, нет, я думаю, это у него от прекрасной человеческой гордости. И – немножко от обиды, потому что, будучи Львом Толстым, оскорбительно подчинить свою волю какому-то стрептококку. Если бы он был естествоиспытателем, он, конечно, создал бы гениальные гипотезы, совершил бы великие открытия...»",0.0,0
4,Лев Николаевич Толстой,Pavel Biri︠u︡kov,1906,552,,,0.0,0
5,Толстой 1850-1860,Борис Измаилович Срезневский,1927,90,,,0.0,0
6,"Л.Н. Толстой, биография, характеристики, воспоминания (Жизнь, личность, творчество)",Pavel Biri︠u︡kov,1910,198,,,0.0,0
7,Л.Н. Толстой в воспоминаниях современников,Nikolaĭ Leontʹevich Brodskiĭ,1955,520,,,0.0,0
8,Для детей,graf Leo Tolstoy,1964,250,"Children's literature, Russian",,0.0,0
9,Лев Толстой и его жена,Тихон Иванович Полнер,1928,256,,,0.0,0
10,"«Кто, что я?» Толстой в своих дневниках, письмах, воспоминаниях, трактатах",Ирина Паперно,2018,604,Biography & Autobiography,"В книге исследуются нехудожественные произведения Льва Толстого: дневники, переписка, «Исповедь», автобиографические фрагменты и трактат «Так что же нам делать?». Это анализ того, как в течение всей жизни Толстой пытался описать и определить свое «я», создав повествование, адекватное по структуре самому процессу бытия, — не литературу, а своего рода книгу жизни. Для Толстого это был проект, исполненный философского, морального и религиозного смысла. Ирина Паперно — филолог, литературовед, историк идей, профессор кафедры славистики Калифорнийского университета в Беркли.",0.0,0
11,Достоевский. Мысли на каждый день,Федор Достоевский,2024,157,Philosophy,"Книга «Достоевский. Мысли на каждый день» составлена из отрывков писем, дневников, записных книжек Фёдора Михайловича. Это уникальная возможность заглянуть в мысли и чувства великого русского писателя. В этих записях читатель найдет размышления Достоевского о своем творчестве, о личной жизни, а также о событиях и людях, которые его окружали. Писатель откровенно делится своими переживаниями, разочарованиями и радостями, что позволяет нам лучше понять его как человека и как автора.В формате PDF A4 сохранен издательский макет книги.",0.0,0
12,Достоевский. Его жизнь и литературная деятельность.,"Соловьёв, Евгений",2015,75,Biography & Autobiography,"Вниманию читателя предлагается историко-биографический очерк, посвященный жизни и творчеству величайшего русского писателя, члена-корреспондента Петербургской Академии Наук (1877) — Федора Михайловича Достоевского. В повестях ""Бедные люди"" (1846), ""Белый ночи"" (1848), ""Неточка Незванова"" (1846, неоконч.) и др. Достоевский описал страдания ""маленького человека"" как социальную трагедию. В повести ""Двойник"" (1846) он дал психологический анализ расколотого сознания. Однако с властями отношения писателя явно не сложились. Он примкнул к движению оппозиционеров. Примкнув к кружку М. В. Петрашевского, Достоевский в 1849 был арестован и приговорен к смертной казни, замененной каторгой (1850—54) с последующей службой рядовым. В 1859 году он возвратился в Петербург и потряс русский литературный мир новыми произведениями. В свет вышли ""Записки из Мертвого дома"" (1861—62) о трагических судьбах и достоинстве человека на каторге. Вместе с братом М. М. Достоевским издавал ""почвеннические"" журналы ""Время"" (1861—63) и ""Эпоха"" (1864—65). В романах ""Преступление и наказание"" (1866), ""Идиот"" (1868), ""Бесы"" (1871—72), ""Подросток"" (1875), ""Братья Карамазовы"" (1879—80) и др. — писателем было дано философское осмысление социального и духовного кризиса России, диалогическое столкновение самобытных личностей, страстные поиски общественной и человеческой гармонии, глубокий психологизм и трагизм. Творчество Достоевского оказало мощное влияние на русскую и мировую литературу.",0.0,0
13,Достоевский. Повести и рассказы. Том 2,Фёдор Достоевский,2020,889,Fiction,"Во втором томе Собрания сочинений Ф. М. Достоевского печатаются цикл фельетонов «Петербургская летопись» and (1847 and ), рассказы «Ползунков», «Чужая жена и муж под кроватью», «Честный вор», «Елка и свадьба», повесть «Слабое сердце», «сентиментальный роман» and («из воспоминаний мечтателя» and ) «Белые ночи» и оставшаяся незаконченной «Неточка Незванова». Эти рассказы и повести создавались в Петербурге до осуждения Достоевского по делу петрашевцев и были опубликованы в 1848–1849 гг. Рассказ «Маленький герой», написанный во время заключения в Петропавловской крепости в 1849 г., был напечатан братом писателя M. M. Достоевским без указания имени автора в 1857 г. «Дядюшкин сон», замысел которого возник и осуществлялся в Семипалатинске, опубликован в 1859 г.",0.0,0
14,Толстой и Достоевский (сборник),Лев Толстой,2016,565,Biography & Autobiography,"«Два исполина», «глыбы», «гиганты», «два гения золотого века русской культуры», «величайшие писатели за всю историю культуры». Так называли современники двух великих русских писателей – Федора Достоевского и Льва Толстого. И эти высокие звания за ними сохраняются до сих пор: конкуренции им так никто и не составил. Более того, многие нынешние известные писатели признаются, что «два исполина» были их Учителями: они отталкивались от их произведений, чтобы создать свой собственный художественный космос. Конечно, как у всех ярких личностей, у Толстого и Достоевского были и враги, и завистники, называющие первого «барином, юродствующим во Христе», а второго – «тарантулом», «банкой с пауками». Но никто не прославил так русскую литературу, как эти гении. Их имена и по сегодняшний день произносятся во всем мире с восхищением.",0.0,0
15,Достоевский Ф. Собрание сочинений в одной книге,Достоевский Ф. М.,2012,1068,Fiction,"Наиболее известные произведения Достоевского: «Преступление и наказание», «Белые ночи», «Чужая жена и муж под кроватью», «Игрок». Людей всегда привлекают загадки человеческой души, поэтому произведения Достоевского вызывают такой интерес. Он мастерски описывает благородные порывы и низменные влечения своих героев.",0.0,0
16,Suicide as a Cultural Institution in Dostoevsky's Russia,Irina Paperno,1997,336,History,"Analyzing a variety of sources--medical reports, social treatises, legal codes, newspaper articles, fiction, private documents left by suicides--Irina Paperno describes the search for the meaning of suicide. Paperno focuses on Russia of the 1860s-1880s.",0.0,0
17,Честный вор - Ф.М. Достоевский,Фёдор Михайлович Достоевский,2018,22,Fiction,"«Честный вор» - произведение классика русской литературы и одного из лучших романистов мирового уровня Ф. М. Достоевского (1821 – 1881). *** Понятия «честный» и «вор» несовместимы. Однако автор достигает эффекта неожиданности. Сначала заявляет, что честных воров не бывает, но затем идет рассказ о «честном человеке», который таковым был, пока не стал «вором». Писатель исследует психологическую природу людей. Достоевский создал немало других замечательных повестей и романов – «Идиот», «Братья Карамазовы», «Бесы», «Бедные люди», «Униженные и оскорбленные», «Игрок», «Белые ночи», «Кроткая», «Мальчик у Христа на елке», «Вечный муж». Значение творчества Достоевского для мировой литературы и философии сложно переоценить. Его без преувеличения можно назвать самым известным и читаемым российским писателем, который получил известность не только благодаря художественным достоинствам своей прозы, но и благодаря их философскому, нравственному наполнению.",0.0,0
18,Достоевский. Энциклопедия,Николай Наседкин,2022,2208,Biography & Autobiography,"Уникальный путеводитель по необъятному миру Федора Михайловича Достоевского – по данным ЮНЕСКО одного из самых читаемых писателей в мире.Под одной обложкой собраны сведения практически обо всех произведениях и героях Достоевского, людях, окружавших писателя, понятиях, так или иначе связанных с его именем. Издание содержит 150 иллюстраций, написано популярным языком и адресовано всем любителям творчества великого писателя – самому широкому кругу читателей.",0.0,0
19,Достоевский. Повести и рассказы. Том 12,Фёдор Достоевский,2020,940,Fiction,"В двенадцатом томе Собрания сочинений Достоевского печатается «Дневник писателя» за 1873 г., а также его статьи, очерки и фельетоны, помещенные в газете-журнале «Гражданин» and (1873–1874, 1878 and ) и литературном сборнике «Складчина» and (1874 and ). В «Приложении» печатаются «Объяснения и показания Ф. M. Достоевского по делу петрашевцев», представляющие большой биографический интерес и имеющие некоторую перекличку со статьями «Дневник писателя».",0.0,0
20,Достоевский,Б. Н Тихомиров,2008,280,,,0.0,0
